Created,Recipe,All Ingredients Needed,Star Rating,Meal Type,Sell Price,Energy Restore,Realm,Remy's Realm,Fruit,Grains,Dairy,Fish,Protein,Seafood,Herbs/ Spices,Sweet,Vegetable,Ice,Total in Stock
FALSE,Bell Pepper Puffs,"Bell Pepper, Egg, Cheese",3,Appetizer,606,1272,Base Game,TRUE,--,--,"Egg, Cheese",--,--,--,--,--,Bell Pepper,--,
FALSE,Berry Salad,"Raspberry, Blueberry, Gooseberry",3,Dessert,139,2210,Base Game,FALSE,"Raspberry, Blueberry, Gooseberry",--,--,--,--,--,--,--,--,--,
FALSE,Birthday Cake,"Wheat, Sugarcane, Egg, Butter, Cocoa Beans",5,Dessert,749,2310,Base Game,FALSE,--,Wheat,"Egg, Butter",--,--,--,--,"Cocoa Beans, Sugarcane",--,--,
FALSE,Biscuits,"Wheat, Sugarcane, Butter",3,Dessert,294,679,Base Game,FALSE,--,Wheat,Butter,--,--,--,--,Sugarcane,--,--,
FALSE,Blueberry Pie,"Blueberry, Wheat, Butter",3,Dessert,308,1227,Base Game,FALSE,"Blueberry, Wheat, Butter",Wheat,Butter,--,--,--,--,--,--,--,
FALSE,Boba Tea,"Milk, Sugarcane",2,Dessert,323,714,Base Game,FALSE,--,--,Milk,--,--,--,--,Sugarcane,--,--,
FALSE,Bouillabaisse,"2 x Any Seafood, Shrimp, Tomato, Any Vegetable",5,Entree,671,2114,Base Game,FALSE,--,--,--,--,--,"2 x Any Seafood, Shrimp",--,--,"Any Vegetable, Tomato",--,
FALSE,Brandade de Morue,"Cod, Potato, Milk, Lemon, Garlic",5,Entree,757,2336,Base Game,FALSE,Lemon,--,Milk,Cod,--,--,Garlic,--,Potato,--,
FALSE,Bunuelos,"Milk, Egg, Wheat, Cheese",4,Appetizer,948,"$1,881",Base Game,TRUE,--,Wheat,"Milk, Egg, Cheese",--,--,--,--,--,--,--,
FALSE,Candy,Any Sweet,1,Dessert,22,123,Base Game,FALSE,--,--,--,--,--,--,--,Any Sweet,--,--,
FALSE,Cannoli,"Egg, Wheat, Cheese, Vanilla",4,Dessert,678,1482,Base Game,FALSE,--,Wheat,"Egg, Cheese",--,--,--,--,Vanilla,--,--,
FALSE,Caramel Apples,"Sugarcane, Apples",2,Dessert,56,638,Base Game,FALSE,Apples,--,--,--,--,--,--,Sugarcane,--,--,
FALSE,Carp Salad,"Carp, Lettuce, Lemon",3,Entree,617,2310,Base Game,FALSE,Lemon,--,--,Carp,--,--,--,--,Lettuce,--,
FALSE,Carrot Cake,"Egg, Wheat, Carrot, Sugarcane",4,Dessert,427,908,Base Game,FALSE,--,Wheat,Egg,--,--,--,--,Sugarcane,Carrot,--,
FALSE,Cheese Platter,Cheese,1,Appetizer,216,$482,Base Game,TRUE,--,--,Cheese,--,--,--,--,--,--,--,
FALSE,Cheesecake,"Cheese, Wheat, Sugarcane, Any Fruit",4,Dessert,332,1161,Base Game,FALSE,Any Fruit,Wheat,Cheese,--,--,--,--,Sugarcane,--,--,
FALSE,Cheesy Crispy Baked Cod,"Cod, Cheese, Wheat",3,Entree,303,840,Base Game,FALSE,--,Wheat,Cheese,Cod,--,--,--,--,--,--,
FALSE,Cherry Pie,"Cherry, Wheat, Butter",3,Dessert,326,1497,Base Game,FALSE,Cherry,Wheat,Butter,--,--,--,--,--,--,--,
FALSE,Cheshire Cat Tail,"Cocoa Beans, Wheat, Sugarcane, Egg",4,Dessert,418,1655,Base Game,FALSE,--,Wheat,Egg,--,--,--,--,"Cocoa Beans, Sugarcane",--,--,
FALSE,Chili Pepper Puffs,"Chili Pepper, Egg, Cheese",3,Appetizer,669,1382,Base Game,FALSE,--,--,"Egg, Cheese",--,--,--,--,--,Chili Pepper,--,
FALSE,Chocolate Chip Cookies,"Cocoa Beans, Wheat, Sugarcane, Butter",4,Dessert,373,1569,Base Game,FALSE,--,Wheat,Butter,--,--,--,--,"Cocoa Beans, Sugarcane",--,--,
FALSE,Chocolate Ice Cream,"Cocoa Beans, Sugarcane, Slush Ice, Milk",4,Dessert,655,2074,Base Game,FALSE,--,--,Milk,--,--,--,--,"Cocoa Beans, Sugarcane",--,Slush Ice,
FALSE,Chocolate Waffles,"Cocoa Beans, Wheat, Sugarcane, Milk",4,Dessert,735,2223,Base Game,FALSE,--,Wheat,Milk,--,--,--,--,"Cocoa Beans, Sugarcane",--,--,
FALSE,Chowder,"Any Seafood, Any Vegetable, Milk, Potato",4,Entree,613,1186,Base Game,FALSE,--,--,Milk,--,--,Any Seafood,--,--,"Any Vegetable, Potato",--,
FALSE,Chrysanthemum Tea,"Chrysanthemum Tea Leaves, Blueberry",2,Appetizer,69,644,Base Game,FALSE,Blueberry,--,--,--,--,--,Chrysanthemum Tea Leaves,--,--,--,
FALSE,Coconut Boba Tea,"Milk, Sugarcane, Coconut",3,Dessert,406,1653,Base Game,FALSE,Coconut,--,Milk,--,--,--,--,Sugarcane,--,--,
FALSE,Coconut Cake,"Coconut, Wheat, Egg, Sugarcane",4,Dessert,424,1750,Base Game,FALSE,Coconut,Wheat,Egg,--,--,--,--,Sugarcane,--,--,
FALSE,Coconut Ice Cream,"Coconut, Sugarcane, Slush Ice, Milk",4,Dessert,661,2169,Base Game,FALSE,Coconut,--,Milk,--,--,--,--,Sugarcane,--,Slush Ice,
FALSE,Coffee,Coffee Beans,1,Appetizer,43,$730,Base Game,FALSE,Coffee Beans,--,--,--,--,--,--,--,--,--,
FALSE,Crackers,Any Grain,1,Appetizer,2,80,Base Game,TRUE,--,Any Grain,--,--,--,--,--,--,--,--,
FALSE,Creamy Garlic Scallops,"Scallop, Garlic, Lemon, Butter",4,Entree,499,1844,Base Game,FALSE,Lemon,--,Butter,--,--,Scallop,Garlic,--,--,--,
FALSE,Creamy Soup,"Milk, Any Vegetable, Potato, Any Herb",4,Appetizer,576,1138,Base Game,FALSE,--,--,Milk,--,--,--,Any Herb,--,"Any Vegetable, Potato",--,
FALSE,Crepe,"Wheat, Milk, Egg, Vanilla",4,Dessert,768,1624,Base Game,FALSE,--,Wheat,"Milk, Egg",--,--,--,--,Vanilla,--,--,
FALSE,Crispy Baked Cod,"Cod, Wheat",2,Entree,47,337,Base Game,FALSE,--,Wheat,--,Cod,--,--,--,--,--,--,
FALSE,Crudités,Any Vegetable,1,Appetizer,26,83,Base Game,TRUE,--,--,--,--,--,--,--,--,Any Vegetable,--,
FALSE,Dream Fizz,"Wheat, Slush Ice, Sugarcane, Dreamlight Fruit",4,Appetizer,316,1550,Base Game,FALSE,Dreamlight Fruit,Wheat,--,--,--,--,--,Sugarcane,--,Slush Ice,
FALSE,Dream Ice Cream,"Dreamlight Fruit, Milk, Slush Ice",3,Dessert,558,1158,Base Game,FALSE,Dreamlight Fruit,--,Milk,--,--,--,--,--,--,Slush Ice,
FALSE,Eggplant Puffs,"Egg, Cheese, Eggplant",3,Appetizer,991,"$1,941",Base Game,TRUE,--,--,"Egg, Cheese",--,--,--,--,--,Eggplant,--,
FALSE,Fish 'n' Chips,"Any Fish, Wheat, Canola, Potato",4,Entree,392,697,Base Game,FALSE,--,Wheat,--,Any Fish,--,--,--,--,Potato,--,
FALSE,Fish Creole,"Any Fish, Any Vegetable, Garlic, Rice, Tomato",5,Entree,280,822,Base Game,FALSE,--,Rice,--,Any Fish,--,--,Garlic,--,"Any Vegetable, Tomato",--,
FALSE,Fish Pasta,"Any Fish, Garlic, Wheat, Milk",4,Entree,475,1282,Base Game,FALSE,--,Wheat,Milk,Any Fish,--,--,Garlic,--,--,--,
FALSE,Fish Pie,"Any Fish, Wheat, Butter",3,Entree,303,867,Base Game,TRUE,--,Wheat,Butter,Any Fish,--,--,--,--,--,--,
FALSE,Fish Risotto,"Any Fish, Rice, Butter",3,Entree,386,939,Base Game,FALSE,--,Rice,Butter,Any Fish,--,--,--,--,--,--,
FALSE,Fish Salad,"Any Fish, Lemon, Lettuce",3,Entree,92,1140,Base Game,FALSE,Lemon,--,--,Any Fish,--,--,--,--,Lettuce,--,
FALSE,Fish Sandwiches,"Any Fish, Wheat",2,Entree,34,337,Base Game,TRUE,--,Wheat,--,Any Fish,--,--,--,--,--,--,
FALSE,Fish Soup,"Any Vegetable, Milk, Any Fish",3,Entree,368,978,Base Game,TRUE,--,--,Milk,Any Fish,--,--,--,--,Any Vegetable,--,
FALSE,Fish Steak,"Any Fish, Tomato, Basil",3,Entree,100,537,Base Game,TRUE,--,--,--,Any Fish,--,--,Basil,--,Tomato,--,
FALSE,Fish Tacos,"Any Fish, Corn, Chili Pepper, Cheese",4,Entree,448,1171,Base Game,FALSE,--,--,Cheese,Any Fish,--,--,--,--,"Chili Pepper, Corn",--,
FALSE,French Fries,"Potato, Canola",2,Appetizer,304,342,Base Game,FALSE,--,--,Canola,--,--,--,--,--,Potato,--,
FALSE,Fruit Pie,"Any Fruit, Wheat, Butter",3,Dessert,297,1047,Base Game,FALSE,Any Fruit,Wheat,Butter,--,--,--,--,--,--,--,
FALSE,Fruit Salad,Any Fruit,1,Dessert,25,450,Base Game,TRUE,Any Fruit,Wheat,--,--,--,--,--,--,--,--,
FALSE,Fruit Sorbet,"Slush Ice, Any Fruit",2,Dessert,222,857,Base Game,FALSE,Any Fruit,--,--,--,--,--,--,--,--,Slush Ice,
FALSE,Fruitcake,"3 x Any Fruit, Wheat",4,Dessert,96,1511,Base Game,TRUE,3 x Any Fruit,Wheat,--,--,--,--,--,--,--,--,
FALSE,Fugu Sushi,"Fugu, Rice, Seaweed",3,Entree,1300,3261,Base Game,FALSE,--,Rice,--,Fugu,--,--,--,--,Seaweed,--,
FALSE,Garlic Chocolate Tart,"Cheese, Cocoa Beans, Garlic, Egg, Wheat",5,Dessert,783,"2,458",Base Game,FALSE,--,Wheat,"Cheese, Egg",--,--,--,Garlic,Cocoa Beans,--,--,
FALSE,Gazpacho,"Onion, Tomato, Cucumber, Any Herb",4,Appetizer,556,821,Base Game,TRUE,--,--,--,--,--,--,Any Herb,--,"Cucumber, Tomato, Onion",--,
FALSE,Ghostly Fish Steak,"Asparagus, Lemon, Bell Pepper, Oregano, Here and There Fish",5,Entree,"3,596","3,282",Base Game,FALSE,Lemon,--,--,Here and There Fish,--,--,Oregano,--,"Asparagus, Bell Pepper",--,
FALSE,Gingerbread House,"Wheat, Vanilla, Egg, Ginger, Sugarcane",5,Dessert,641,1460,Base Game,FALSE,--,Wheat,Egg,--,--,--,Nutmeg,"Sugarcane, Vanilla",--,--,
FALSE,Gooseberry Boba Tea,"Milk, Sugarcane, Gooseberry",3,Dessert,418,1833,Base Game,FALSE,Gooseberry,--,Milk,--,--,--,--,Sugarcane,--,--,
FALSE,Gray Stuff,"Any Dairy, Sugarcane, Cocoa Beans",3,Dessert,114,1046,Base Game,FALSE,--,--,Any Dairy,--,--,--,--,"Sugarcane, Cocoa Beans",--,--,
FALSE,Greek Pizza,"Any Herb, Wheat, Cheese, Tomato, Onion",5,Entree,630,1152,Base Game,TRUE,--,Wheat,Cheese,--,--,--,Any Herb,--,"Tomato, Onion",--,
FALSE,Green Salad,"Lettuce, Any Vegetable",2,Appetizer,20,180,Base Game,TRUE,--,--,--,--,--,--,--,--,"Lettuce, Any Vegetable",--,
FALSE,Grilled Fish,Any Fish,1,Entree,30,290,Base Game,TRUE,--,--,--,Any Fish,--,--,--,--,--,--,
FALSE,Grilled Fish Entrée,"Any Fish, Any Vegetable",2,Entree,42,340,Base Game,TRUE,--,--,--,Any Fish,--,--,--,--,Any Vegetable,--,
FALSE,Grilled Vegetables,Any Vegetable,1,Appetizer,9,$83,Base Game,TRUE,--,--,--,--,--,--,--,--,Any Vegetable,--,
FALSE,Grilled Veggie Platter,3 x Any Vegetable,3,Appetizer,33,161,Base Game,TRUE,--,--,--,--,--,--,--,--,3 x Any Vegetable,--,
FALSE,Gumbo,"Okra, Shrimp, Chili Pepper, Tomato, Onion",5,Entree,1000,2226,Base Game,FALSE,--,--,--,--,--,Shrimp,--,--,"Chili Pepper, Okra, Tomato, Onion",--,
FALSE,Halloween Gingerbread Cookies,"Ginger, Pumpkin, Wheat",3,Dessert,1001,735,Base Game,FALSE,--,Wheat,--,--,--,--,Ginger,--,Pumpkin,--,
FALSE,Hard-Boiled Eggs,Egg,1,Appetizer,263,578,Base Game,TRUE,--,--,--,--,--,--,--,--,--,--,
FALSE,Hearty Salad,"2 x Any Vegetable, Lettuce",3,Entree,33,224,Base Game,TRUE,--,--,--,--,--,--,--,--,"2 x Any Vegetable, Lettuce",--,
FALSE,Hors d-Oeuvres,Any Herb,1,Entree,24,$202,Base Game,TRUE,--,--,--,--,--,--,Any Herb,--,--,--,
FALSE,Hot Cocoa,"Milk, Sugarcane, Cocoa Beans",3,Dessert,175,1046,Base Game,FALSE,--,--,Milk,--,--,--,--,"Cocoa Beans, Sugarcane",--,--,
FALSE,Ice Cream,"Slush Ice, Milk, Sugarcane",3,Dessert,558,1158,Base Game,FALSE,--,--,Milk,--,--,--,--,Sugarcane,--,Slush Ice,
FALSE,Jam Waffles,"Any Fruit, Wheat, Egg, Milk",4,Dessert,709,1843,Base Game,TRUE,Any Fruit,Wheat,"Egg, Milk",--,--,--,--,--,--,--,
FALSE,Jasmine Tea,"Jasmine Tea Leaves, Sugarcane",2,Appetizer,56,127,Base Game,FALSE,--,--,--,--,--,--,Jasmine Tea Leaves,Sugarcane,--,--,
FALSE,Joyful Meal,"Wheat, Raspberry, Blueberry, Banana",4,Dessert,120+,"1,938",Base Game,FALSE,"Blueberry, Raspberry, Banana",Wheat,--,--,--,--,--,--,--,--,
FALSE,Kappa Maki,"Seaweed, Cucumber, Rice",3,Entree,335,462,Base Game,FALSE,--,Rice,--,--,--,--,--,--,"Seaweed, Cucumber",--,
FALSE,Kronk's Spinach Puffs,"Spinach, Cheese, Canola",3,Entree,461,750,Base Game,FALSE,--,--,"Cheese, Canola",--,--,--,--,--,Spinach,--,
FALSE,Lancetfish Paella,"Lancetfish, Shrimp, Any Seafood, Tomato, Rice",5,Entree,1700,4550,Base Game,FALSE,--,Rice,--,Lancetfish,--,"Any Seafood, Shrimp",--,--,Tomato,--,
FALSE,Large Seafood Platter,"4 x Any Seafood, Lemon",5,Appetizer,340,1810,Base Game,FALSE,Lemon,--,--,--,--,4 x Any Seafood,--,--,--,--,
FALSE,Latkes,"Onion, Potato, Canola, Egg",4,Entree,937,1280,Base Game,FALSE,--,--,Egg,--,--,--,--,--,"Onion, Potato",--,
FALSE,Latte,"Milk, Coffee Beans",2,Appetizer,345,1358,Base Game,FALSE,--,--,Milk,--,--,--,--,--,--,--,
FALSE,Leek Soup,Leek,1,Entree,370,414,Base Game,FALSE,--,--,--,--,--,--,--,--,Leek,--,
FALSE,Lemon Garlic Swordfish,"Swordfish, Lemon, Garlic",3,Entree,1100,3713,Base Game,FALSE,Lemon,--,--,Swordfish,--,--,Garlic,--,--,--,
FALSE,Lemon Sorbet,"Lemon, Slush Ice",2,Dessert,237,1112,Base Game,FALSE,Lemon,--,--,--,--,--,--,--,--,Slush Ice,
FALSE,Lioness Feast,"Here and There Fish, Tomato, Mushrooms, Oregano",4,Entree,"3,108","2,368",Base Game,FALSE,--,--,--,Here and There Fish,--,--,Oregano,--,"Mushrooms, Tomato",--,
FALSE,Lobster Roll,"Lobster, Butter, Wheat, Lemon, Garlic",5,Entree,1900,4928,Base Game,FALSE,Lemon,Wheat,Butter,--,--,Lobster,Garlic,--,--,--,
FALSE,Maguro Sushi,"Tuna, Rice, Seaweed, Ginger",4,Entree,413,1206,Base Game,FALSE,--,Rice,--,Tuna,--,--,Ginger,--,Seaweed,--,
FALSE,Maki,"Any Fish, Rice, Seaweed",3,Entree,148,471,Base Game,FALSE,--,Rice,--,Any Fish,--,--,--,--,Seaweed,--,
FALSE,Margherita Pizza,"Any Herb, Tomato, Cheese, Wheat",4,Entree,336,818,Base Game,TRUE,--,Wheat,Cheese,--,--,--,Any Herb,--,Tomato,--,
FALSE,Marvelous Jam,"Dreamlight Fruit, Wheat",2,Entree,54,932,Base Game,FALSE,Dreamlight Fruit,Wheat,--,--,--,--,--,--,--,--,
FALSE,Mediterranean Salad,"Cucumber, Tomato, Onion, Any Spice, Lettuce",5,Entree,605,976,Base Game,TRUE,--,--,--,--,--,--,Any Spice,--,"Cucumber, Lettuce, Tomato, Onion",--,
FALSE,Meringue Pie,"Lemon, Butter, Wheat, Egg",4,Dessert,667,2014,Base Game,FALSE,Lemon,Wheat,"Butter, Egg",--,--,--,--,--,--,--,
FALSE,Mermaid Cupcake,"Milk, Wheat, Butter, Sugarcane, Scallop",5,Dessert,785,1690,Base Game,FALSE,--,Wheat,Butter,--,--,Scallop,--,Sugarcane,--,--,
FALSE,Minnie Cupcake,"Milk, Wheat, Butter, Sugarcane, Apples",5,Dessert,745,2040,Base Game,FALSE,Apples,Wheat,"Milk, Butter",--,--,--,--,Sugarcane,--,--,
FALSE,Minnie's Gingerbread Cookies,"Wheat, Ginger",2,Dessert,67,379,Base Game,FALSE,--,Wheat,--,--,--,--,Ginger,--,--,--,
FALSE,Mint Boba Tea,"Milk, Sugarcane, Mint",3,Dessert,460,1032,Base Game,FALSE,--,--,Milk,--,--,--,Mint,Sugarcane,--,--,
FALSE,Mint Candy,"Mint, Sugarcane",2,Dessert,128,391,Base Game,FALSE,--,--,--,--,--,--,Mint,Sugarcane,--,--,
FALSE,Mint Chocolate,"Mint, Cocoa Beans, Sugarcane, Butter",4,Dessert,490,1827,Base Game,FALSE,--,--,Butter,--,--,--,Mint,"Cocoa Beans, Sugarcane",--,--,
FALSE,Mint Sorbet,"Mint, Slush Ice",2,Dessert,299,695,Base Game,FALSE,--,--,--,--,--,--,Mint,--,--,Slush Ice,
FALSE,Mocha,"Milk, Coffee Beans, Cocoa Beans",3,Appetizer,425,2246,Base Game,FALSE,Coffee Beans,--,Milk,--,--,--,--,Cocoa Beans,--,--,
FALSE,Mushroom Pizza,"Mushrooms, Wheat, Tomato, Cheese",4,Entree,351,837,Base Game,FALSE,--,Wheat,Cheese,--,--,--,--,--,"Mushrooms, Tomato",--,
FALSE,Mushu's Congee,"Rice, Egg, Ginger, Garlic, Mushrooms",5,Entree,753,1658,Base Game,FALSE,--,Rice,Egg,--,--,--,"Garlic, Ginger",--,Mushrooms,--,
FALSE,Nachos,"Chili Pepper, Corn, Cheese",3,Entree,383,842,Base Game,FALSE,--,--,Cheese,--,--,--,--,--,"Chili Pepper, Corn",--,
FALSE,Okra Soup,Okra,1,Appetizer,136,99,Base Game,FALSE,--,--,--,--,--,--,--,--,Okra,--,
FALSE,Omelet,"Egg, Cheese, Milk",3,Entree,882,1751,Base Game,TRUE,--,--,"Egg, Cheese, Milk",--,--,--,--,--,--,--,
FALSE,Onion Puffs,"Onion, Egg, Cheese",3,Appetizer,798,1392,Base Game,TRUE,--,--,"Egg, Cheese",--,--,--,--,--,Onion,--,
FALSE,Oolong Tea,"Oolong Tea Leaves, Raspberry",2,Appetizer,59,516,Base Game,FALSE,Raspberry,--,--,--,--,--,Oolong Tea Leaves,--,--,--,
FALSE,Oyster Platter,"Oyster, Lemon",2,Appetizer,367,"$1,155",Base Game,FALSE,Lemon,--,--,--,--,Oyster,--,--,--,--,
FALSE,Pan-Fried Angler Fish,"Anglerfish, Tomato, Zucchini, Potato",4,Entree,2500,4194,Base Game,FALSE,--,--,--,Anglerfish,--,--,--,--,"Tomato, Potato, Zucchini",--,
FALSE,Pan-Seared Bass & Vegetables,"2 x Any Vegetable, Bass",3,Entree,57,394,Base Game,FALSE,--,--,--,Bass,--,--,--,--,2 x Any Vegetable,--,
FALSE,Pan-Seared Tilapia & Vegetables,"Tilapia, 2 x Any Vegetable",3,Entree,862,2194,Base Game,FALSE,--,--,--,Tilapia,--,--,--,--,2 x Any Vegetable,--,
FALSE,Pasta,"Wheat, Tomato",2,Entree,30,117,Base Game,TRUE,--,Wheat,--,--,--,--,--,--,Tomato,--,
FALSE,Pasteis de Nata,"Corn, Egg, Milk, Vanilla",4,Dessert,774,1645,Base Game,FALSE,--,--,"Egg, Milk",--,--,--,--,Vanilla,Corn,--,
FALSE,Pastry Cream and Fruits,"3 x Any Fruit, Milk, Sugarcane",5,Dessert,497,2332,Base Game,FALSE,3 x Any Fruit,--,Milk,--,--,--,--,Sugarcane,--,--,
FALSE,Pawpsicle,"Slush Ice, Sugarcane, Any Fruit",3,Dessert,265,987,Base Game,FALSE,Any Fruit,--,--,--,--,--,--,Sugarcane,--,Slush Ice,
FALSE,Peanut Butter Sandwich,"Peanuts, Wheat",2,Entree,262,592,Base Game,FALSE,--,Wheat,Peanuts,--,--,--,--,--,--,--,
FALSE,Peanut Butter Waffles,"Peanuts, Wheat, Egg, Milk",4,Dessert,978,1938,Base Game,FALSE,--,Wheat,"Egg, Milk",--,--,--,--,--,--,--,
FALSE,Peppermint Tea,"Mint, Lemon",2,Appetizer,146,993,Base Game,FALSE,Lemon,--,--,--,--,--,Mint,--,--,--,
FALSE,Pesto with Linguine,"Wheat, Butter, Garlic, Oregano",4,Entree,438,1063,Base Game,FALSE,--,Wheat,Butter,--,--,--,"Garlic, Oregano",--,--,--,
FALSE,Pickled Herring,"Herring, Lemon, Onion, Any Herb",4,Appetizer,431,1742,Base Game,FALSE,Lemon,--,--,Herring,--,--,Any Herb,--,Onion,--,
FALSE,Pizza,"Tomato, Wheat, Cheese",3,Entree,284,607,Base Game,TRUE,--,Wheat,Cheese,--,--,--,--,--,Tomato,--,
FALSE,Plain Snow Cones,Any Ice,1,Dessert,180,410,Base Game,FALSE,--,--,--,--,--,--,--,--,--,Any Ice,
FALSE,Poached Basil-Butter Sturgeon,"White Sturgeon, Basil, Lemon, Butter",4,Entree,2200,4961,Base Game,FALSE,Lemon,--,Butter,White Sturgeon,--,--,Basil,--,--,--,
FALSE,Potato Leek Soup,"Leek, Potato, Milk, Onion, Garlic",5,Appetizer,1400,1984,Base Game,FALSE,--,--,Milk,--,--,--,Garlic,--,"Leek, Potato, Onion",--,
FALSE,Potato Puffs,"Potato, Egg, Cheese",3,Appetizer,736,1333,Base Game,FALSE,--,--,Cheese,--,--,--,--,--,Potato,--,
FALSE,Pottage,"Potato, Any Vegetable, Any Herb",3,Appetizer,215,461,Base Game,FALSE,--,--,--,--,--,--,Any Herb,--,"Potato, Any Vegetable",--,
FALSE,Poutine,"Potato, Canola, Cheese",3,Entree,580,845,Base Game,FALSE,--,--,"Cheese, Canola",--,--,--,--,--,Potato,--,
FALSE,Princess Aurora Raspberry Cupcake,"Milk, Wheat, Butter, Sugarcane, Raspberry",5,Dessert,738,1990,Base Game,FALSE,Raspberry,Wheat,"Milk, Butter",--,--,--,--,Sugarcane,--,--,
FALSE,Pumpkin Puffs,"Pumpkin, Egg, Cheese",3,Appetizer,1400,1455,Base Game,FALSE,--,--,"Egg, Cheese",--,--,--,--,--,Pumpkin,--,
FALSE,Pumpkin Soup,"Pumpkin, Ginger, Milk, Any Vegetable",4,Appetizer,1500,1431,Base Game,FALSE,--,--,Milk,--,--,--,Ginger,--,Pumpkin,--,
FALSE,Purée,Potato,1,Appetizer,151,230,Base Game,FALSE,--,--,--,--,--,--,--,--,Potato,--,
FALSE,Ranch Salad,"Lettuce, Bell Pepper, Corn, Tomato, Onion",5,Entree,396,714,Base Game,TRUE,--,--,--,--,--,--,--,--,"Lettuce, Bell Pepper, Corn, Tomato, Onion",--,
FALSE,Raspberry Boba Tea,"Milk, Sugarcane, Raspberry",3,Dessert,377,1203,Base Game,FALSE,Raspberry,--,Milk,--,--,--,--,Sugarcane,--,--,
FALSE,Ratatouille Recipe,"Tomato, Eggplant, Zucchini, Onion, Any Herb",5,Entree,914,1572,Base Game,TRUE,--,--,--,--,--,--,Any Herb,--,"Tomato, Eggplant, Zucchini, Onion",--,
FALSE,Red Fruit Sorbet,"Raspberry, Gooseberry, Sugarcane, Slush Ice",4,Dessert,359,2179,Base Game,FALSE,"Raspberry, Gooseberry",--,--,--,--,--,--,Sugarcane,--,Slush Ice,
FALSE,Red Velvet,"Wheat, Cheese, Egg, Cocoa Beans, Vanilla",5,Dessert,783,2458,Base Game,FALSE,--,Wheat,Cheese,--,--,--,--,"Cocoa Beans, Vanilla",--,--,
FALSE,Roasted Asparagus,"Asparagus, Canola",2,Appetizer,313,221,Base Game,FALSE,--,--,Canola,--,--,--,--,--,Asparagus,--,
FALSE,Roasted Marshmallows,"2 x Pink Marshmallow, 2 x Blue Marshmallow",4,Dessert,300,3470,Base Game,FALSE,--,--,--,--,--,--,--,"2 x Pink Marshmallow, 2 x Blue Marshmallow",--,--,
FALSE,Root Beer,"Ginger, Sugarcane, Vanilla",3,Dessert,350,690,Base Game,FALSE,--,--,--,--,--,--,Ginger,"Sugarcane, Vanilla",--,--,
FALSE,S'mores,"Pink Marshmallow, Blue Marshmallow, 2 x Wheat",4,Dessert,156,1832,Base Game,FALSE,--,2 x Wheat,--,--,--,--,--,"Pink Marshmallow, Blue Marshmallow",--,--,
FALSE,Sake Maki,"Salmon, Rice, Seaweed",3,Entree,323,1101,Base Game,FALSE,--,Rice,--,Salmon,--,--,--,--,Seaweed,--,
FALSE,Sake Sushi,"Salmon, Rice",2,Entree,274,1000,Base Game,FALSE,--,Rice,--,Salmon,--,--,--,--,--,--,
FALSE,Salad,Lettuce,1,Appetizer,9,139,Base Game,TRUE,--,--,--,--,--,--,--,--,Lettuce,--,
