,Night Thorn/Dried Flower Reset: 5 AM,,,,,,,,,,,,,
Feeling Accomplished,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D24, Base Game Memory D25, and Base Game Memory D26.",Embarrassment Turtle,,,,,,,,
Feeling Nostalgic,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D26, which requires removing Hockey Trophy,",Envy Rabbit,,,,,,,,
Get Nostalgic!,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D39, which requires removing Riley's Phone",Nostalgia Capybara,,,,,,,,
Feeling Joyful,Mysteries,Base Game,Dreamlight,☆,"Complete Base Game Memory D24, which requires removing Riley's Birthday Cake",Ennui Raven Companion,,,,,,,,
A 3-Course Halloween Meal,Mysteries,Base Game,Dreamlight,☆,"Eat Red, Blue, and Green Candy",Green Trick or Treater's Bounty,,,,,,,,
A Home for the Holidays,Mysteries,Base Game,Dreamlight,☆,Place 5 festive-themed furniture inside your house,Winter Carpet,,,,,,,,
A Shining Icon,Mysteries,Base Game,Dreamlight,☆,Craft Metallic Mickey Popcorn Bucket,Metallic Mickey's Handheld Popcorn Bucket,,,,,,,,
Add Rooms to Your House,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,2,50,5,100,10,200,15,300,25,500
Button-Maker,Mysteries,Base Game,Dreamlight,☆,Craft 20 Purple Buttones,Retroc Magic Kingdom Map,,,,,,,,
Calmer of Chaos,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Clean Your Room,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Complete Dreamlight Duties,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,7,50,90,100,280,200,500,300,"1,100",500
Cookie Taste Test,Mysteries,Base Game,Dreamlight,☆,Make/eat 3 different cookie recipes,Festive Candy Ears,,,,,,,,
Craftily Ever After,Mysteries,Base Game,Dreamlight,☆,Craft Cinderella Popcorn Bucket,Handheld Cinderella Popcorn Bucket,,,,,,,,
Destination: Imagination,Mysteries,Base Game,Dreamlight,☆,Craft Figment Popcorn Bucket,Figment Handheld Popcorn Bucket,,,,,,,,
Do You Wanna Build a Snowman,Mysteries,Base Game,Dreamlight,☆,Craft  a snowman,Festive Candy Ears with Bow,,,,,,,,
Eggs-ceptional Decorating,Mysteries,Base Game,Dreamlight,☆,Craft/Place,Tulip Lamp,,,,,,,,
Even Fish Are Festive,Mysteries,Base Game,Dreamlight,☆,Catch all 5 festive-themed fish,Santa Hat,,,,,,,,
Expert Treasure Hunter,Mysteries,Base Game,Dreamlight,☆,2,Pirate Crossbones Motif,,,,,,,,
Ho! Ho! Ho! Duty,Mysteries,Base Game,Dreamlight,☆,Collect 10 rolls of wrapping paper,Pile of Gifts,,,,,,,,
Jungle Bungles,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Lucky You!,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Mine Time!,Mysteries,Base Game,Dreamlight,☆,Craft mine cart Popcorn Bucket,Handheld Mine Cart Popcorn Bucket,,,,,,,,
More than a Mirage,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
"Oh, Brother",Mysteries,Base Game,Dreamlight,☆,Craft Pooh's Popcorn Bucket,Pooh's Handheld Popcorn Bucket,,,,,,,,
Popcorn Enthusiast,Mysteries,Base Game,Dreamlight,☆☆☆☆☆,Cinderella Popcorn Bucket,--,Figment Popcorn Bucket,--,Metallic Mickey Popcorn Bucket,--,Pooh's Popcorn Bucket,--,Stitch Popcorn Bucket,Vintage Magic Kingdom Map
Remove Giant Night Thorns from Biomes,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,3,300,6,500,,,,
Repair Houses,Mysteries,Base Game,Dreamlight,☆☆☆☆,1,50,5,100,10,200,12,300,,
Repair Stalls,Mysteries,Base Game,Dreamlight,☆☆☆,1,50,4,300,7,500,,,,
Savor Some Sweetness,Mysteries,Base Game,Dreamlight,☆,Eat a combined total of 25 Marshmallows or S'mores,Hiking Backpack,,,,,,,,
Share Some Sweetness,Mysteries,Base Game,Dreamlight,☆,Gift 25 Roasted Marshmallows to Villagers,Birding Top,,,,,,,,
Spring Taste Test,Mysteries,Base Game,Dreamlight,☆,"Cook/eat Spring Chocolate, Spring Mimosa Eggs, Spring Egg Bowl",Spring Tableware,,,,,,,,
Squirrel!,Mysteries,Base Game,Dreamlight,☆,Craft Doug's Popcorn Bucket,Doug's Handheld Popcorn Bucket,,,,,,,,
Stitch-y Situation,Mysteries,Base Game,Dreamlight,☆,Craft Stitch Popcorn Bucket,Stitch's Handheld Popcorn Bucket,,,,,,,,
Stockpile Pumpkins,Mysteries,Base Game,Dreamlight,☆,Stockpile 100 Pumpkins,Pumpkin Stack,,,,,,,,
Sugar Rush,Mysteries,Base Game,Dreamlight,☆,Craft/Eat Candy,"Happy Jack-O'-Lantern (15 Candies), Marvelous Jack-O'-Lantern (30 Candies), Friendly Jack-O'-Lantern (45 Candies)",,,,,,,,
Sweet Samaritan,Mysteries,Base Game,Dreamlight,☆,Gift 50 themed cupcakes to villagers,Magic Kingdom Map,,,,,,,,
That's Not Where Eggs Come From!,Mysteries,Base Game,Dreamlight,,,,,,,,,,,
Trick or Treat,Mysteries,Base Game,Dreamlight,☆,Give a gift to 10 different Villagers,Mickey Mouse Pumpkin,,,,,,,,
Upgrade Moana's Boat,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,3,300,9,500,,,,
Upgrade Remy's Restaurant,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,2,300,3,500,,,,
Upgrade Scrooge's Store,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,2,300,3,500,,,,
Upgrade Wall-E's Garden,Mysteries,Base Game,Dreamlight,☆☆☆,1,100,3,300,9,500,,,,
Upgrade Your House,Mysteries,Base Game,Dreamlight,☆☆☆,1,50,2,300,3,500,,,,
Villany Wears Many Masks,Mysteries,Base Game,Dreamlight,☆,Wear a mask,Purple Trick or Treater's Bounty,,,,,,,,
WALL-E Loves Flowers,Mysteries,Base Game,Dreamlight,☆,Gather 50 flowers with WALL-E,Decorative Tulip,,,,,,,,
Change Outfit,Daily,Base Game,Dreamlight,☆,"Removing an item (e.g. Coat, Earrings) does not count. Changing Hairstyle does not count.",50,,,,,,,,
Take a picture,Daily,Base Game,Dreamlight,☆,,50,,,,,,,,
Harvest 3 Fruit,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Spices,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Have a daily discussion,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Pick 3 Mushrooms,Daily,Base Game,Dreamlight,☆,Mushrooms cleared from Small Mushroom Patches and Big Mushroom Patches count,100,,,,,,,,
Remove 4 Night Thorns,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Collect 3 Bonus Items given by a Companion,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Take a Picture with a Companion,Daily,Base Game,Dreamlight,☆,,50,,,,,,,,
Prepare a 1-Star Meal or Better,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Prepare a 2-Star Meal or Better,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Prepare a 3-Star Meal or Better,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Prepare a 4-Star Meal or Better,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Prepare a 5-Star Meal,Daily,Base Game,Dreamlight,☆,,250,,,,,,,,
Prepare a Meal: <<Meal Name>>,Daily,Base Game,Dreamlight,☆,,250,,,,,,,,
Bring 2 Gifts,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish,Daily,Base Game,Dreamlight,☆,"Here and There Fish does not count towards this. (However, it does count towards the Sell Fish duty.)",150,,,,,,,,
Catch 3 Seafood,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Sell 2 Fish,Daily,Base Game,Dreamlight,☆,"Includes Seafood obtained via Fishing (i.e. Crab, Shrimp, Squid). Does not include Seaweed.",150,,,,,,,,
Sell 5 Fruits,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Sell 3 Vegetables,Daily,Base Game,Dreamlight,☆,"All ingredients categorized as Vegetables during Cooking count, except for Seaweed.",150,,,,,,,,
Cook with Seafood,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Critter,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Harvest 5 Vegetables,Daily,Base Game,Dreamlight,☆,Harvesting WALL-E's Garden does not count. Harvesting Mushrooms does count.,200,,,,,,,,
Mine 4 Rock Spots,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Plant 5 Vegetables,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Prepare 2 Meals,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Sell 2 Meals,Daily,Base Game,Dreamlight,☆,Serving a Meal in Chez Remy does not count towards this,200,,,,,,,,
Sell 1 Minerals,Daily,Base Game,Dreamlight,☆,Only mining artifacts categorized as Gems count - i.e. Crystal does not.,200,,,,,,,,
Bring a Friend their favorite Gift,Daily,Base Game,Dreamlight,☆,,250,,,,,,,,
Gain 500 Star Coins,Daily,Base Game,Dreamlight,☆,,250,,,,,,,,
Serve a Meal in the Restaurant,Daily,Base Game,Dreamlight,☆,,250,,,,,,,,
Mine 2 Minerals,Daily,Base Game,Dreamlight,☆,Onyx does not count,250,,,,,,,,
Harvest 3 Apples,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Bananas,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Blueberries,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Cherry,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Cocoa Beans,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Coconuts,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Coffee Beans,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Lemons,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Gooseberries,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Harvest 3 Raspberries,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Catch 3 Fish from the Peaceful Meadow,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish from Dazzle Beach,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish from the Forest of Valor,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish from the Glade of Trust,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish from the Sunlit Plateau,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish from the Frosted Heights,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fish from the Forgotten Lands,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Anglerfish,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Carp,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Fugu,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Lancetfish,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Pike,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Rainbow Trout,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Salmon,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Sole,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 Swordfish,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Catch 3 White Sturgeon,Daily,Base Game,Dreamlight,☆,,150,,,,,,,,
Feed a Squirrel,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Rabbit,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Sea Turtle,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Raccoon,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Crocodile,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Sunbird,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Fox,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Feed a Raven,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Plaza,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Peaceful Meadow,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots on Dazzle Beach,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Forest of Valor,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Glade of Trust,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots on the Sunlit Plateau,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Frosted Heights,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Forgotten Lands,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Mine 4 Rock Spots in the Vitalys Mines,Daily,Base Game,Dreamlight,☆,,200,,,,,,,,
Add 3 Decorations to the Plaza,Daily,Base Game,Dreamlight,☆,Moving existing Furniture or Landscaping items will satisfy. Adding or moving items that can be dropped from Inventory (including Flowers) will not.,100,,,,,,,,
Add 3 Decorations to the Peaceful Meadow,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Add 3 Decorations to Dazzle Beach,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Add 3 Decorations to the Forest of Valor,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
Add 3 Decorations to the Glade of Trust,Daily,Base Game,Dreamlight,☆,,100,,,,,,,,
